ZO,RO,Vertical,Crop,Hybrid,Crop Grp,Source,FYPQ,FYPV,CMPQ,CMPV,CM Est 1,CM Est 2,CME,CMINVQ,CMINVV,CMPOGQ,CMPOGV,CM NRV,YTDPOGQ,YTDPOGV,YTDLMPOGQ,YTDLMPOGV,YTDLMPQ,YTDLMPV,STKQ,STKV,STK,YTDINVQ,YTDINVV,OPBALQ,PRPOGQ,PRPOGV,CMP,CMPOG,YTDPQ,YTDPV,YTDP,YTDPOG,YTDLMPOG,YTDLMP,CMRET,YTDRET,CMRETQ,CMRETV,YTDRETQ,YTDRETV,Divisions,H1PQ,Segment,Dashboard,Veg. Crop,H1PV,CMEV,LM Difference,Genetics,LYP,LYPQ,LYPV,LYPOG,LYPOGQ,LYPOGV,NMPQ,NMPV,NMP,Plan NRV,OpBR,OpBR180,COL
JAIPUR,JAIPUR,VEGETABLES,F RIDGE GOURD,HARIKIRAN,VEGETABLES,#N/A,0,0,0,0,,,,0,0,0,0,5800,-0.93,-0.05394,-0.93,-0.05394,0,0,0,0,0,-0.93,-0.0750975,0,-0.93,-0.05394,0,0,0,0,0,-0.05394,-0.05394,0,0,-3.23,0,0,-3.23,-0.261,TRADE,0,TRADE,Main,ZOther Veg,0,,0,SUNNY,0,0,0,0,0,0,0,0,0,,0,0,0
JAIPUR,JAIPUR,VEGETABLES,F RIDGE GOURD,ROHINI,VEGETABLES,#N/A,0,0,0,0,,,,0,0,0,0,5800,0,0,0,0,0,0,0,0,0,0,-0.00608,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,0,0,-0.4,-0.032,TRADE,0,TRADE,Main,ZOther Veg,0,,0,ROHINI,0,0,0,0,0,0,0,0,0,,0,0,0
JAIPUR,JAIPUR,VEGETABLES,G SPONGE GOURD,NAINA,VEGETABLES,#N/A,0,0,0,0,,,,0,0,0,0,2750,-0.75,-0.020625,-0.75,-0.020625,0,0,0,0,0,-0.75,-0.0263625,0,-0.75,-0.020625,0,0,0,0,0,-0.020625,-0.020625,0,0,-0.75,0,0,-0.75,-0.026,TRADE,0,TRADE,Main,ZOther Veg,0,,0,NAINA,0,0,0,0,0,0,0,0,0,,0,0,0
JAIPUR,JAIPUR,VEGETABLES,H BRINJAL,613,VEGETABLES,#N/A,0,0,0,0,,,,0,0,0,0,5000,0.2,0.01,0.2,0.01,0,0,0,0,0,0,0,0.2,0.2,0.01,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,TRADE,0,TRADE,Main,ZOther Veg,0,,0,613,0,0,0,0,0,0,0,0,0,,0,0,0
JAIPUR,JAIPUR,VEGETABLES,H BRINJAL,BHIMA,VEGETABLES,#N/A,0,0,0,0,,,,0,0,0,0,5500,0.9,0.0495,0.9,0.0495,0,0,0,0,0,0.4,0.02242,0.5,0.9,0.0495,0,0,0,0,0,0.0495,0.0495,0,0,-0.3,0,0,-0.3,-0.018,TRADE,0,TRADE,Main,ZOther Veg,0,,0,BHIMA,0,0,0,0.009,0.2,0.009,0,0,0,,0,0,0
JAIPUR,JAIPUR,VEGETABLES,H BRINJAL,TRISHUL,VEGETABLES,#N/A,0,0,0,0,,,,0,0,0,0,7800,0.18,0.01404,0.18,0.01404,0,0,0,0,0,0.18,0.0159885,0,0.18,0.01404,0,0,0,0,0,0.01404,0.01404,0,0,-0.12,0,0,-0.12,-0.011,TRADE,0,TRADE,Main,ZOther Veg,0,,0,TRISHUL,0,0,0,0,0,0,0,0,0,,0,0,0
JAIPUR,JAIPUR,VEGETABLES,H BRINJAL,UJWAL,VEGETABLES,#N/A,0,0,0,0,,,,0.4,0.03306,0,0,6800,1,0.068,1,0.068,0,0,0.5,0.034,0.034,1.5,0.11875,0,1,0.068,0,0,0,0,0,0.068,0.068,0,0,0,0,0,0,0,TRADE,0,TRADE,Main,ZOther Veg,0,,0,UJWAL,0,0,0,0,0,0,0,0,0,,0,0,0
JAIPUR,JAIPUR,VEGETABLES,I WATERMELON,139,VEGETABLES,I WATERMELON,240,43.2,25,4.5,,,,74,14.763,0,0,18000,16.65,2.997,16.65,2.997,0,0,158,28.44,28.44,153.25,29.241,21.4,16.65,2.997,4.5,0,25,4.5,4.5,2.997,2.997,0,0,-4.75,0,0,-4.75,-1.444,TRADE,0,TRADE,Main,I WATERMELON,0,,0,139,2.3,10,2.3,2.415,10.5,2.415,30,5.4,5.4,18000,0,0,0
JAIPUR,JAIPUR,VEGETABLES,I WATERMELON,A1-SOLID,VEGETABLES,I WATERMELON,0,0,0,0,,,,0.5,0.1425,5.5,1.1275,20500,-9.85,-2.01925,-15.35,-3.14675,0,0,7,1.435,1.435,-6.4,-1.824,3.55,-15.35,-3.14675,0,1.1275,0,0,0,-2.01925,-3.14675,0,0,-18.9,0,0,-18.9,-5.387,TRADE,0,TRADE,Main,I WATERMELON,0,,0,NAUGHTY,6.75,30,6.75,11.025,49,11.025,0,0,0,,0,0,0
JAIPUR,JAIPUR,VEGETABLES,I WATERMELON,NAUGHTY,VEGETABLES,I WATERMELON,85,17.425,5,1.03,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03,0,5,1.025,1.025,0,0,0,0,0,0,0,0,0,TRADE,0,TRADE,Main,I WATERMELON,0,,0,NAUGHTY,0,0,0,0.1125,0.5,0.1125,10,2.05,2.05,20500,0,0,0
